HandRight.X;HandRight.Y;HandRight.Z;HipCenter.X;HipCenter.Y;HipCenter.Z;ElbowRight.X;ElbowRight.Y;ElbowRight.Z;;Hand Rechts;X [m];Y [m];Z [m]
-0.01412013;-0.139145;3.472281;-0.1589866;-0.4512777;3.678963;0.01967824;-0.3093737;3.60863;;Nullpunkt;-0.027163941;-0.131346213;3.418776719
-0.02534235;-0.09726316;3.432465;-0.1585724;-0.4495071;3.678231;0.01900657;-0.3232552;3.61081;;Max Abw. [m];0.050729211;0.068552923;0.075272719
-0.0217362;-0.1089742;3.436029;-0.1580667;-0.4512544;3.677645;0.009468399;-0.3358533;3.61533;;Std. Abw [m];0.009013788;0.023089117;0.023075577
-0.01532089;-0.1412269;3.457759;-0.1564799;-0.4515807;3.676417;0.000928734;-0.3398651;3.623847;;;;;
-0.01466158;-0.1409239;3.456722;-0.1560438;-0.4515353;3.676425;0.008448578;-0.3355529;3.619919;;Hüfte;X [m];Y [m];Z [m]
-0.01885772;-0.11611;3.433764;-0.1559459;-0.450483;3.676209;0.007293634;-0.3379885;3.620052;;Nullpunkt;-0.15160071;-0.448803343;3.664575843
-0.01501524;-0.1411882;3.451154;-0.1557093;-0.4512264;3.675751;0.007082134;-0.3393463;3.625484;;Max Abw. [m];0.00738589;0.011579843;0.014387157
-0.01310401;-0.1396037;3.445227;-0.1544778;-0.4485596;3.67625;0.0478074;-0.3128026;3.587832;;Std. Abw [m];0.001696386;0.004027577;0.003543024
-0.01294539;-0.1396296;3.446045;-0.1543056;-0.44874;3.675736;0.0461879;-0.3092493;3.612205;;;;;
-0.01247641;-0.1388547;3.444518;-0.1538893;-0.4524641;3.674323;0.04541056;-0.3089179;3.611105;;Ellb. Rechts;X [m];Y [m];Z [m]
-0.02143508;-0.09521228;3.410217;-0.1534809;-0.4529667;3.673927;0.02382322;-0.3141521;3.59827;;Nullpunkt;0.022408825;-0.334039784;3.588425953
-0.01237121;-0.1389567;3.444962;-0.153372;-0.452657;3.673692;0.03001321;-0.3186636;3.594665;;Max Abw. [m];0.059163445;0.047490084;0.045077047
-0.01228436;-0.1384774;3.44259;-0.1531184;-0.4525104;3.673469;-0.03675462;-0.3605076;3.633503;;Std. Abw [m];0.007160364;0.010197036;0.010269327
-0.01229779;-0.1387456;3.442162;-0.1530386;-0.4521376;3.673104;0.04313971;-0.3007346;3.606008;;;;;
-0.01952968;-0.1139869;3.4254;-0.1529336;-0.4549765;3.671644;0.04429996;-0.3381401;3.60125;;;;;
-0.01388281;-0.1385087;3.443235;-0.152652;-0.4554177;3.670901;0.04046126;-0.2865497;3.5958;;;;;
-0.01985118;-0.1121311;3.423837;-0.1522448;-0.4546427;3.671023;0.01884352;-0.3347301;3.610038;;;;;
-0.01475009;-0.1403014;3.444024;-0.1514819;-0.4529656;3.671211;0.02000687;-0.3378924;3.609012;;;;;
-0.01520298;-0.1415784;3.449472;-0.1514474;-0.4530303;3.671167;0.04084367;-0.315144;3.590229;;;;;
-0.02198729;-0.08386103;3.38074;-0.1516839;-0.4530421;3.671007;0.0152339;-0.3507931;3.615865;;;;;
-0.02375458;-0.08461946;3.377238;-0.1513584;-0.4547353;3.670191;0.01455766;-0.3501602;3.615283;;;;;
-0.02922246;-0.07464296;3.382295;-0.1512647;-0.4545214;3.669987;0.01145554;-0.3485237;3.618344;;;;;
-0.02911093;-0.08151801;3.387669;-0.1512483;-0.4545162;3.670014;0.01088247;-0.3449872;3.61821;;;;;
-0.01810862;-0.1411099;3.440661;-0.1514973;-0.4556888;3.669448;0.04532893;-0.3199126;3.585406;;;;;
-0.01242734;-0.0791177;3.388257;-0.1514821;-0.4550993;3.669137;0.008694723;-0.3537345;3.618787;;;;;
-0.03264263;-0.1438223;3.467088;-0.151661;-0.4546926;3.668955;0.01649121;-0.3298603;3.605744;;;;;
-0.02720405;-0.1463498;3.46387;-0.1518595;-0.4544851;3.668055;0.02956577;-0.332717;3.600749;;;;;
-0.03427052;-0.1130282;3.436577;-0.1518558;-0.4542469;3.6681;0.02363116;-0.345042;3.608475;;;;;
0.01196071;-0.1092877;3.425889;-0.1518353;-0.4542209;3.668077;0.03711367;-0.3320459;3.596187;;;;;
0.01297693;-0.1071701;3.414194;-0.1518508;-0.4542856;3.668042;0.03419465;-0.3270818;3.591689;;;;;
0.02356527;-0.09283723;3.423592;-0.151771;-0.4548863;3.667848;0.04328014;-0.304366;3.609435;;;;;
0.02304617;-0.09444886;3.42327;-0.151774;-0.4548032;3.667956;0.04188982;-0.3066819;3.608462;;;;;
0.01896153;-0.1033949;3.411475;-0.1517093;-0.4540992;3.66815;0.01528262;-0.342968;3.601344;;;;;
-0.01613322;-0.1464977;3.452015;-0.1515337;-0.4550939;3.668231;0.02824378;-0.3157757;3.568298;;;;;
-0.02268832;-0.1375882;3.378295;-0.1518211;-0.4543855;3.66923;0.0310681;-0.3421434;3.592553;;;;;
-0.02040674;-0.1478035;3.446364;-0.1515953;-0.4540732;3.669132;0.02105031;-0.3405768;3.59935;;;;;
-0.02046977;-0.1477134;3.446188;-0.1517773;-0.4539238;3.669044;0.02260215;-0.3329823;3.585783;;;;;
-0.02046754;-0.147762;3.446468;-0.1519987;-0.4536901;3.668994;0.02288834;-0.3332317;3.595308;;;;;
-0.02821295;-0.1148828;3.409609;-0.1522062;-0.4535538;3.668756;0.02649646;-0.3306311;3.601443;;;;;
-0.02997287;-0.1121263;3.404472;-0.153181;-0.4527326;3.669201;0.02736909;-0.3115649;3.575983;;;;;
-0.03054858;-0.1130125;3.40464;-0.1530677;-0.4522499;3.669248;0.02869864;-0.315069;3.58316;;;;;
-0.02980525;-0.1141556;3.404981;-0.152798;-0.4527003;3.66883;0.02815067;-0.3150314;3.582465;;;;;
-0.02968848;-0.1154235;3.404636;-0.1531742;-0.4535863;3.668487;0.03011476;-0.3225573;3.580776;;;;;
-0.03161332;-0.1125257;3.399873;-0.1532735;-0.4533604;3.668436;0.02984389;-0.3242106;3.581029;;;;;
-0.03072084;-0.1123917;3.399936;-0.1537892;-0.452673;3.668449;0.02958987;-0.3200651;3.579458;;;;;
-0.02279982;-0.1466695;3.458251;-0.1547767;-0.4555383;3.667186;0.02745001;-0.3207198;3.578069;;;;;
-0.02301847;-0.1462871;3.457982;-0.1551296;-0.4547039;3.667031;0.02968511;-0.3224935;3.578724;;;;;
-0.02225642;-0.1489838;3.449138;-0.1556529;-0.4534335;3.667126;0.02064295;-0.3264019;3.594641;;;;;
-0.03819505;-0.1167923;3.377175;-0.1556186;-0.4533078;3.667193;0.02131032;-0.3259221;3.596827;;;;;
-0.04281127;-0.1079491;3.397404;-0.1550627;-0.4524436;3.66745;0.02073601;-0.3255536;3.598238;;;;;
-0.04290471;-0.1083168;3.39824;-0.1552015;-0.4523776;3.667775;0.02056764;-0.3251336;3.595552;;;;;
-0.02172372;-0.1473919;3.450725;-0.1543544;-0.4537316;3.667817;0.01377535;-0.332093;3.590688;;;;;
-0.02231088;-0.1453882;3.453762;-0.1538462;-0.452024;3.667693;0.02013318;-0.3179301;3.579383;;;;;
-0.02962366;-0.09229375;3.413311;-0.1536886;-0.451348;3.667785;0.02123915;-0.3271191;3.591395;;;;;
-0.02206582;-0.1698385;3.422022;-0.1552114;-0.4526498;3.667523;0.02072057;-0.3326024;3.588647;;;;;
-0.02325274;-0.1472522;3.443401;-0.1549062;-0.4521592;3.667722;0.02658547;-0.3288899;3.587737;;;;;
-0.05312897;-0.09540051;3.424958;-0.1549419;-0.4520851;3.667136;0.02550307;-0.3211503;3.586994;;;;;
-0.05480716;-0.09601985;3.429367;-0.1545226;-0.4510181;3.666935;0.02770258;-0.3233882;3.587183;;;;;
-0.02340755;-0.1463716;3.449468;-0.1550281;-0.4520828;3.666619;0.02580298;-0.322717;3.5845;;;;;
-0.02344845;-0.1467006;3.448415;-0.1547784;-0.4516673;3.66686;0.02263718;-0.3238818;3.582333;;;;;
-0.02357641;-0.1471879;3.446199;-0.154462;-0.4507482;3.666583;0.02120664;-0.3276129;3.583738;;;;;
-0.03560788;-0.1012817;3.416924;-0.1547153;-0.4498368;3.666972;0.01891996;-0.3202689;3.592274;;;;;
-0.02674429;-0.1478315;3.443405;-0.1546737;-0.4498789;3.666771;0.01824036;-0.3213888;3.591997;;;;;
-0.02676421;-0.1478262;3.443412;-0.1543827;-0.4500794;3.666465;0.02841326;-0.3198568;3.582146;;;;;
-0.02629667;-0.1448585;3.445146;-0.1545828;-0.4507669;3.666008;0.02318476;-0.3185088;3.581644;;;;;
-0.02490503;-0.153036;3.436872;-0.1547327;-0.4507825;3.665616;0.02006663;-0.3213947;3.581449;;;;;
-0.02498593;-0.1529669;3.436954;-0.1547312;-0.450084;3.665427;0.01635293;-0.330149;3.583268;;;;;
-0.02529993;-0.1521953;3.438527;-0.1547131;-0.4501678;3.665483;0.01559719;-0.3311507;3.582424;;;;;
-0.05145162;-0.08927141;3.410449;-0.1544247;-0.4502462;3.664891;0.01493248;-0.3338354;3.584985;;;;;
-0.0267849;-0.1489677;3.430126;-0.152127;-0.4419104;3.665941;0.01481079;-0.3337598;3.585051;;;;;
-0.03278322;-0.09784354;3.411636;-0.1524105;-0.4471766;3.665074;0.01398331;-0.3300303;3.581372;;;;;
-0.03359326;-0.1052278;3.408127;-0.1525954;-0.4406155;3.666966;0.01375583;-0.3295355;3.581367;;;;;
-0.02617374;-0.1416354;3.436468;-0.1526745;-0.4414586;3.666762;0.01367927;-0.329646;3.581589;;;;;
-0.02839551;-0.1424321;3.450434;-0.1527077;-0.4429637;3.666265;0.01406139;-0.3306316;3.58177;;;;;
-0.02517466;-0.1468471;3.447737;-0.1526703;-0.4429959;3.666016;0.02130667;-0.3337941;3.585275;;;;;
-0.02985226;-0.1431775;3.434214;-0.1530108;-0.4435414;3.665235;0.02178268;-0.3391086;3.587415;;;;;
-0.02711368;-0.1447349;3.439189;-0.1530794;-0.4444854;3.665147;0.02149795;-0.3396298;3.586643;;;;;
-0.02744339;-0.1430067;3.443268;-0.1530823;-0.4440769;3.66491;0.01780871;-0.348688;3.58996;;;;;
-0.02787194;-0.148851;3.433187;-0.153028;-0.444309;3.664818;0.01642614;-0.3379633;3.581251;;;;;
-0.02850055;-0.1487062;3.436072;-0.1531145;-0.4468538;3.663497;0.01767754;-0.3330996;3.57738;;;;;
-0.02920146;-0.1476073;3.436691;-0.1531021;-0.446871;3.66349;0.0249389;-0.3269702;3.574522;;;;;
-0.02834412;-0.1487675;3.430446;-0.1532155;-0.4475484;3.663343;0.02480522;-0.3269171;3.573963;;;;;
-0.03115257;-0.09642372;3.388581;-0.1531989;-0.4475234;3.663388;0.02271277;-0.3281458;3.574041;;;;;
-0.0330102;-0.09858769;3.387084;-0.153181;-0.4475309;3.663425;0.02111709;-0.3274634;3.578541;;;;;
-0.02504101;-0.1427041;3.444775;-0.1532041;-0.4475344;3.663449;0.01809321;-0.3285394;3.579525;;;;;
-0.02614357;-0.1452623;3.442815;-0.1531994;-0.4474406;3.663486;0.02042849;-0.3274985;3.574837;;;;;
-0.0322905;-0.09867703;3.383585;-0.1531593;-0.4474863;3.663546;0.01905387;-0.3275241;3.575222;;;;;
-0.02377732;-0.1555989;3.422026;-0.1530299;-0.448186;3.663406;0.01854753;-0.3284976;3.575437;;;;;
-0.02512692;-0.1539647;3.431973;-0.153016;-0.4481837;3.663401;0.0182006;-0.328936;3.575277;;;;;
-0.03466485;-0.09587212;3.413878;-0.1529658;-0.4481124;3.663605;0.02249293;-0.3280517;3.571801;;;;;
-0.02718662;-0.1372526;3.431447;-0.152784;-0.4479692;3.663356;0.02116868;-0.3268201;3.57481;;;;;
-0.02317651;-0.09916812;3.41116;-0.1527173;-0.4480307;3.663312;0.02104843;-0.3249871;3.578865;;;;;
-0.02570178;-0.139888;3.435926;-0.152803;-0.4478401;3.663166;0.01811894;-0.3354177;3.589543;;;;;
-0.03902939;-0.08609515;3.397181;-0.1528293;-0.4478178;3.663152;0.0176429;-0.3346286;3.588848;;;;;
-0.02779651;-0.1642218;3.428266;-0.1527534;-0.448377;3.66326;0.01770895;-0.336317;3.587011;;;;;
-0.02529729;-0.156243;3.433581;-0.1528298;-0.4485025;3.663105;0.01910451;-0.3393281;3.58703;;;;;
-0.01986849;-0.06467165;3.344527;-0.152766;-0.4486487;3.663145;0.01931934;-0.3322898;3.585141;;;;;
-0.02078518;-0.06279329;3.344775;-0.1526688;-0.4486353;3.663178;0.02322069;-0.3288775;3.592752;;;;;
-0.02459027;-0.1359516;3.449062;-0.152412;-0.4486272;3.663285;0.02151333;-0.3278147;3.590419;;;;;
-0.02082115;-0.1005091;3.411252;-0.1518723;-0.4519601;3.662669;0.02051369;-0.3293292;3.588377;;;;;
-0.0284571;-0.1491753;3.440481;-0.1516827;-0.4517536;3.662895;0.02105366;-0.331765;3.590887;;;;;
-0.02722267;-0.107882;3.404389;-0.1514099;-0.4518787;3.662977;0.01995929;-0.3431381;3.594365;;;;;
-0.02634794;-0.111195;3.409308;-0.1515204;-0.451453;3.66296;0.02121619;-0.3439532;3.595538;;;;;
-0.02504315;-0.1396225;3.428345;-0.1515561;-0.4513578;3.663042;0.022309;-0.3425774;3.592284;;;;;
-0.02312982;-0.1388322;3.441239;-0.1514545;-0.4532279;3.66283;0.01857567;-0.3350535;3.589455;;;;;
-0.02472007;-0.1434555;3.438546;-0.1513904;-0.4531585;3.662572;0.01960016;-0.3171062;3.573851;;;;;
-0.0252679;-0.1431616;3.439828;-0.1515909;-0.4528083;3.66271;0.01916075;-0.3195488;3.576019;;;;;
-0.02481242;-0.1431456;3.442259;-0.1515314;-0.4528451;3.662744;0.0194172;-0.3252963;3.578556;;;;;
-0.03543272;-0.09529042;3.411997;-0.1516125;-0.4523833;3.663324;0.02107761;-0.325092;3.581139;;;;;
-0.0325655;-0.09900576;3.417648;-0.1514606;-0.4519413;3.663705;0.02173993;-0.3340578;3.580904;;;;;
-0.03258049;-0.1026313;3.415418;-0.1513811;-0.4522659;3.663264;0.0214825;-0.3326754;3.588359;;;;;
-0.02527168;-0.07865371;3.368068;-0.15147;-0.4517591;3.66317;0.0280026;-0.3178394;3.571082;;;;;
-0.03463875;-0.09661391;3.403875;-0.1514881;-0.4512919;3.663471;0.02446022;-0.3294276;3.576304;;;;;
-0.02996585;-0.1462691;3.438111;-0.1515291;-0.451262;3.663523;0.02271362;-0.336911;3.591744;;;;;
-0.03008439;-0.1464399;3.439732;-0.1515542;-0.4510394;3.663767;0.02183075;-0.3398992;3.591667;;;;;
-0.02956841;-0.1470065;3.440523;-0.1515776;-0.4509323;3.663749;0.02701481;-0.3289301;3.594755;;;;;
-0.0347054;-0.09687209;3.417652;-0.151349;-0.4506938;3.663487;0.02592127;-0.3247674;3.59306;;;;;
-0.03592211;-0.100681;3.40664;-0.1515689;-0.4505194;3.663633;0.02635478;-0.3252183;3.592479;;;;;
-0.02499691;-0.1561655;3.426213;-0.1514159;-0.4525036;3.662291;0.02433159;-0.324344;3.592208;;;;;
-0.02503142;-0.1560722;3.426407;-0.1513688;-0.4518977;3.662547;0.03222125;-0.3248139;3.588822;;;;;
-0.03433312;-0.1033384;3.397233;-0.1513967;-0.4520057;3.66254;0.03065709;-0.3084867;3.609102;;;;;
-0.0284751;-0.1512098;3.439239;-0.1514032;-0.4518949;3.662675;0.02510316;-0.3391929;3.591111;;;;;
-0.04205296;-0.09612435;3.394544;-0.1513001;-0.4514312;3.662969;0.02744172;-0.3389273;3.587805;;;;;
-0.02941203;-0.1414074;3.444781;-0.1512555;-0.4514485;3.662837;0.0268473;-0.3398362;3.590174;;;;;
-0.02876649;-0.1434636;3.443142;-0.1516837;-0.4512419;3.662483;0.02408927;-0.3362114;3.583158;;;;;
-0.02810024;-0.1462764;3.436707;-0.1518003;-0.4521672;3.662914;0.02870918;-0.3333467;3.579546;;;;;
-0.028165;-0.1463528;3.436886;-0.1517013;-0.4520867;3.663338;0.02404328;-0.3430616;3.583188;;;;;
-0.02751611;-0.1464864;3.438849;-0.1516934;-0.452096;3.663332;0.02632695;-0.3401986;3.587301;;;;;
-0.02740588;-0.1470465;3.438577;-0.1513977;-0.4504278;3.663778;0.02467799;-0.3336535;3.587184;;;;;
-0.02800234;-0.1113792;3.401708;-0.1501191;-0.4459212;3.664786;0.02213853;-0.3370418;3.58429;;;;;
-0.02867801;-0.1080012;3.399093;-0.1502238;-0.4460207;3.664765;0.02142209;-0.3362208;3.58393;;;;;
-0.02847959;-0.106596;3.399755;-0.1501897;-0.4457351;3.665198;0.02140613;-0.3374216;3.584175;;;;;
-0.0279812;-0.106407;3.400594;-0.1503569;-0.4516299;3.66369;0.01833878;-0.3374375;3.587252;;;;;
-0.02661306;-0.1428009;3.424608;-0.1505266;-0.4519058;3.663535;0.02931697;-0.3271087;3.576844;;;;;
-0.0260852;-0.1460956;3.432325;-0.150541;-0.4520302;3.663572;0.02549816;-0.3289804;3.587027;;;;;
-0.02675924;-0.1459918;3.433798;-0.1504536;-0.4522925;3.663492;0.01833347;-0.3289383;3.58284;;;;;
-0.02645334;-0.1451353;3.436848;-0.1502976;-0.4528074;3.663515;0.02415567;-0.3362522;3.592805;;;;;
-0.02148191;-0.1014977;3.395087;-0.1502818;-0.4528177;3.66357;0.02083927;-0.3260752;3.593598;;;;;
-0.02244546;-0.1058164;3.395996;-0.1504782;-0.4524836;3.66396;0.01838077;-0.326248;3.588752;;;;;
-0.02207127;-0.1069011;3.395199;-0.1505965;-0.452244;3.664081;0.01984826;-0.3267636;3.589684;;;;;
-0.02122547;-0.106022;3.395115;-0.1505168;-0.451883;3.664171;0.02345659;-0.3272845;3.593669;;;;;
-0.01973157;-0.1093453;3.39182;-0.1507923;-0.4520274;3.664255;0.02936229;-0.3201907;3.601297;;;;;
-0.0204149;-0.1045775;3.39282;-0.1507722;-0.4520589;3.664216;0.03142357;-0.3167409;3.588564;;;;;
-0.02027375;-0.1065558;3.395151;-0.1509467;-0.450992;3.664347;0.03049168;-0.320564;3.591043;;;;;
-0.01966504;-0.1051496;3.401404;-0.1507386;-0.4505523;3.664172;0.02806614;-0.3275514;3.591085;;;;;
-0.0249904;-0.1364801;3.425155;-0.1506017;-0.4500504;3.664467;0.02632504;-0.3344416;3.588481;;;;;
